"InspectionProcessID","FlatCoilID","CoilNumber","RoughnessTHeadOSSeverity","RoughnessTHeadCenterSeverity","RoughnessTHeadDSSeverity","RoughnessTBodyOSSeverity","RoughnessTBodyCenterSeverity","RoughnessTBodyDSSeverity","RoughnessTTailOSSeverity","RoughnessTTailCenterSeverity","RoughnessTTailDSSeverity","RoughnessBHeadOSSeverity","RoughnessBHeadCenterSeverity","RoughnessBHeadDSSeverity","RoughnessBBodyOSSeverity","RoughnessBBodyCenterSeverity","RoughnessBBodyDSSeverity","RoughnessBTailOSSeverity","RoughnessBTailCenterSeverity","RoughnessBTailDSSeverity","RoughnessTHeadOSType","RoughnessTHeadCenterType","RoughnessTHeadDSType","RoughnessTBodyOSType","RoughnessTBodyCenterType","RoughnessTBodyDSType","RoughnessTTailOSType","RoughnessTTailCenterType","RoughnessTTailDSType","RoughnessBHeadOSType","RoughnessBHeadCenterType","RoughnessBHeadDSType","RoughnessBBodyOSType","RoughnessBBodyCenterType","RoughnessBBodyDSType","RoughnessBTailOSType","RoughnessBTailCenterType","RoughnessBTailDSType"
"964974","6215109","02W89W      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964986","6215158","03W92W      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964991","6215170","03W93A      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964992","6215179","04W93A      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"964995","6215186","04W92Y      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965002","6215208","02W92X      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965004","6215209","03W92X      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965009","6215245","02W92V      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965010","6215246","03W91V      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965012","6215260","04W93C      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965016","6215269","03W93C      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965022","6215291","03W92V      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965025","6215298","04W93D      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965029","6215316","01W92F      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965036","6215325","01W90Y      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965031","6215336","06W91A      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965041","6215364","01W93B      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965043","6215368","03W93B      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965047","6215382","02W93E      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965048","6215387","03W93E      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
"965057","6215403","01W93H      ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   "
