"ClaimId","CustomerClaimDefectWeight"
1739,"784"
1740,"492"
1741,"3251"
1742,"770"
1743,"4320"
1744,"825"
1745,"2490"
1746,"17380"
1747,"35900"
1748,"680"
1749,"1080"
1750,"2450"
1751,"1587"
1752,"888"
1753,"2029"
1754,"1680"
1755,"1890"
1756,"880"
1757,"2438"
1758,"2065"
1759,"1160"
1760,"1430"
1761,"985"
1762,"3710"
1763,"1430"
1764,"1439"
1765,"3941"
1766,"1779"
1767,"600"
1768,"1984"
1769,"5750"
1770,"1260"
1771,"1390"
1772,"3145"
1773,"560"
1774,"913"
1775,"860"
1776,"4036"
1777,"3017"
1778,"1068"
1779,"1801"
1780,"1185"
1781,"1127"
1782,"874"
1783,"1272"
1784,"1011"
1785,"1130"
1786,"3785"
1787,"922"
1788,"498"
1789,"0"
1790,"0"
1791,"656"
1792,"0"
1793,"18280"
1794,"0"
1795,"2539"
1796,"1116"
1797,"1482"
1798,"470"
1799,"405"
1800,"870"
1801,"618"
1802,"850"
1803,"1320"
1804,"1470"
1805,"704"
1806,"2158"
1807,"0"
1808,"0"
1809,"1542"
1810,"969"
1811,"1317"
1812,"17660"
1813,"1256"
1814,"1577"
1815,"1446"
1816,"2132"
1817,"4312"
1818,"399"
1819,"0"
1820,"8055"
1821,"2148"
1822,"1540"
1823,"4330"
1824,"1214"
1825,"4795"
1826,"1820"
1827,"5152"
1828,"1053"
1829,"8266"
1830,"3334"
1831,"148"
1832,"1437"
1833,"3337"
1834,"0"
1835,"0"
1836,"0"
1837,"0"
1838,"0"
1839,"16870"
1840,"7740"
1841,"4260"
1842,"2132"
1843,"2196"
1844,"13780"
1845,"0"
1846,"4186"
1847,"0"
1848,"927"
1849,"1199"
1850,"1571"
1851,"737"
1852,"0"
1853,"0"
1854,"0"
1855,"2634"
1856,"1532"
1857,"2165"
1858,"7182"
1859,"2921"
1860,"1465"
1861,"0"
1862,"2075"
1863,"1918"
1864,"1152"
1865,"745"
1866,"3178"
1867,"1115"
1868,"11560"
1869,"915"
1870,"1630"
1871,"1223"
1872,"0"
1873,"3142"
1874,"0"
1875,"1138"
1876,"1690"
1877,"3778"
1878,"0"
1879,"1340"
1880,"3685"
1881,"0"
1882,"2345"
1883,"3065"
1884,"1660"
1885,"2889"
1886,"1272"
1887,"1158"
1888,"3211"
1889,"2300"
1890,"414"
1891,"5128"
1892,"1544"
1893,"1505"
1894,"2490"
1895,"2100"
1896,"3860"
1897,"900"
1898,"2701"
1899,"1158"
1900,"2014"
1901,"3126"
1902,"3020"
1903,"1801"
1904,"2406"
1905,"8515"
1906,"2568"
1907,"1740"
1908,"3391"
1909,"3832"
1910,"21368"
1911,"2555"
1912,"3340"
1913,"2950"
1914,"758"
1915,"0"
1916,"0"
1917,"0"
1918,"30"
1919,"30"
1920,"1540"
1921,"1149"
1922,"907"
1923,"957"
1924,"559"
1925,"601"
1926,"422"
1927,"471"
1928,"3433"
1929,"727"
1930,"2562"
1931,"27220"
1932,"3243"
1933,"941"
1934,"702"
1935,"2120"
1936,"3288"
1937,"0"
1938,"1546"
